"YEAR";"sst";"botT";"so";"botso";"nppv"
1987;18.1075827207179;13.4445653409272;38.2748895639203;38.5072401311372;NA
1988;18.3609418801734;13.8959525528217;38.1859485980115;38.5552341431224;NA
1989;17.7237400382467;13.627167614581;38.1977206863002;38.5364606043314;NA
1990;18.208866300821;13.9474308538508;38.2317155505809;38.5195401365885;NA
1991;17.8650791693063;13.6978601835452;38.0638263827382;38.4254283835224;NA
1992;18.1500247222932;13.4239623393504;38.1148085586835;38.4625407068933;NA
1993;18.1477185236691;13.17803572123;38.1372446605771;38.4608035050404;NA
1994;18.6461597817718;13.4441331997143;37.8534226696374;38.3437761515261;NA
1995;17.8896962730562;13.438103984741;37.9156229698133;38.3880262297835;NA
1996;17.6812375404424;13.4415368097482;38.0419863582375;38.4078089852785;NA
1997;17.9986828502066;13.7666576832394;38.1006745118037;38.4023765300394;NA
1998;18.5329745406728;14.0722907072998;38.125000822553;38.4610517472665;NA
1999;18.6461139241699;13.9663587275431;38.2805057061449;38.5497835602315;6.84787566672785
2000;18.9149450153772;14.214662884583;38.4206247751994;38.6111537666139;6.73565864107732
2001;18.7354945431382;14.5908051279599;38.2246131043983;38.5455534863432;6.71468521242542
2002;18.5975352011888;14.2145146732527;38.2328113832841;38.5869824757475;6.73112204508736
2003;19.2141385303235;13.9477536159112;38.4270932472506;38.6003039771521;6.77123777491286
2004;18.7098348481859;14.0885046661797;38.4122094761123;38.7045803336017;6.97927586953648
2005;18.4558020595236;13.9496483560135;38.4325504043768;38.6852492592026;6.77337032916944
2006;18.4358679854521;13.4860644468734;38.3684452623833;38.67468196388;6.86917317271035
2007;18.7028536066144;14.1758655491459;38.2051837080503;38.5449697866024;6.94319636071641
2008;18.5480722840096;13.8682843924169;38.1441745136719;38.4879056516637;6.92535154483272
2009;18.6594731203883;13.7924811950726;38.0580899145707;38.4199534960408;7.55439044686849
2010;18.3152335872242;13.7760951686911;38.0265957176515;38.367227309717;7.26423980349835
2011;19.0580418576254;14.2406297355441;38.2093570406332;38.4718176176943;6.81977047849846
2012;19.2174191325509;14.1347523995875;38.4703765570728;38.7016192391565;6.64143139041425
2013;19.0176061864992;14.4858418372942;38.346969325673;38.7163263604688;7.38416107840627
2014;19.0939827407314;15.0596709157502;37.9908635219909;38.5967079010243;7.05833407077045
2015;19.3774950857403;14.6414260339059;38.2314737205141;38.5878732935855;7.1083795588289
2016;19.0669024164099;14.9511308466404;38.4360985634156;38.7201762132843;6.87936153114284
2017;18.8910949731097;14.3363574047883;38.3623145451687;38.6643109954415;6.61163851250982
2018;19.452004887108;14.1613399573227;38.0811525394968;38.5112722178309;7.46917631254263
2019;19.3739108269731;14.7463224850996;38.3649567606986;38.7169835991422;7.3391329512469
2020;19.2402847105802;14.9318349727722;38.5892272116239;38.8111333220502;7.28338293389653
2021;19.3374662324793;14.9639954162577;38.5952783225628;38.8386067115503;7.17810496546911
