"YEAR";"MONTH";"sst";"botT";"so";"botso";"nppv"
1993;4;14.9749420278191;14.0141184093563;38.3876636897872;38.6787750094899;NA
1993;5;18.2261754350896;14.0294548472093;38.3056629182931;38.6710500306561;NA
1993;6;22.1002716058807;14.115510614826;38.2456330552103;38.7007079508405;NA
1993;7;23.879657524446;14.1556781168873;38.1074821232363;38.7053412244607;NA
1993;8;26.2518349040732;14.2796897957009;38.1330025944496;38.6878384244542;NA
1993;9;24.4738099590129;14.4156779177048;38.217913498066;38.6461200391392;NA
1993;10;21.2266909444814;14.4478217665687;38.1445423367308;38.6218106848286;NA
1993;11;18.0300774985503;14.6246508749115;38.0021315179986;38.5469793556213;NA
1993;12;15.5928646641268;14.5639270290048;38.0543245197091;38.5314839875665;NA
1994;1;14.3584594109086;14.0986337945505;38.1378472896674;38.5004644839459;NA
1994;2;13.712470210842;13.6567773591641;38.1638974413856;38.4282487756432;NA
1994;3;14.1295032923111;13.6282229881736;38.0958688879376;38.4320867497053;NA
1994;4;14.8566383261806;13.7365762884794;38.1026253213415;38.4569227767152;NA
1994;5;17.8982685112818;13.8805372267715;38.0441947000388;38.4750215616014;NA
1994;6;21.3594458887515;14.0780183097002;38.048444105542;38.5419746939503;NA
1994;7;25.671838972929;14.2661141434981;38.0163867110617;38.5762112466024;NA
1994;8;27.5467776670579;14.1872401457169;38.0429964318605;38.5789186503395;NA
1994;9;25.6585767680313;14.0922161874767;38.0786002409052;38.5111399177591;NA
1994;10;22.4022514727184;14.3984939476023;37.9803944834969;38.4871639577344;NA
1994;11;18.9061662476235;14.3929617942948;37.8919994517202;38.4353740718519;NA
1994;12;16.1745596787416;14.3959002001263;37.9714065725003;38.4313653356964;NA
1995;1;14.3125330306782;13.8997895581727;38.0825498781084;38.4054032764829;NA
1995;2;13.6027650837482;13.4864204982818;38.1216399494621;38.4122986685941;NA
1995;3;13.5155634520434;13.3773452629264;38.111021323783;38.3915312206089;NA
1995;4;13.9578885100464;13.3754289832253;38.0617187055347;38.383581248948;NA
1995;5;16.5678424272432;13.5900504290003;38.0373090243046;38.4689075760977;NA
1995;6;21.5108079708702;13.8160518636223;38.137288070712;38.5493779891113;NA
1995;7;25.5380760577413;13.8982893293392;38.2251122123879;38.5433784647839;NA
1995;8;26.5850400216444;14.0244188522305;38.1452881033449;38.5839176530724;NA
1995;9;23.7642798554548;14.2449838651465;38.0488203668508;38.6020203298332;NA
1995;10;21.4343977783929;14.5960338573618;37.8356368615231;38.5951362377727;NA
1995;11;17.8343138675962;14.6165132067276;38.0193282676965;38.5665620161233;NA
1995;12;15.0552344005231;14.1305305217958;38.042651483829;38.5129099247594;NA
1996;1;13.9753074163105;13.667053233957;38.0845702700255;38.4552535599501;NA
1996;2;13.6208609908327;13.5848915673489;38.0462192101321;38.4508600102036;NA
1996;3;13.5134370054866;13.5963341792821;38.1771907889739;38.4932917448823;NA
1996;4;14.4652884200718;13.6562921624326;38.2219664000288;38.5208724380248;NA
1996;5;17.4934386918734;13.7020061469523;38.200424939341;38.5294067222508;NA
1996;6;21.8914072844856;13.9185151697862;38.1896232449905;38.5287155097883;NA
1996;7;24.0114597426637;14.1167122643097;38.1853379921931;38.5550123328055;NA
1996;8;25.8472962897688;14.1986206319414;38.2347005629859;38.581178662095;NA
1996;9;23.3520496401612;14.1965307040917;38.1796065796335;38.600834983514;NA
1996;10;19.5200396081847;14.2625551699545;38.0702746404678;38.5719329311905;NA
1996;11;17.1261091119475;14.4752811609266;38.1332328077446;38.5330294965185;NA
1996;12;15.0442790648737;14.2875243090706;38.1457010450616;38.4982091715585;NA
1997;1;14.220862103337;13.8644851878489;38.1564002888709;38.4480384353266;NA
1997;2;14.1308936994273;13.6820905000558;38.2555733736326;38.4614934111637;NA
1997;3;13.9754516027604;13.6082754332779;38.2383359198229;38.4526831461735;NA
1997;4;14.0573721927619;13.7790834490766;38.2173475742247;38.4929794038567;NA
1997;5;17.4421594049131;13.9892555621451;38.2201965651365;38.5452297926193;NA
1997;6;21.5681546683167;14.1985458056654;38.3120964033633;38.597885661605;NA
1997;7;24.032002547805;14.3274911968323;38.2799414875211;38.6257913252385;NA
1997;8;25.2401665431748;14.5101756584963;38.4178209993383;38.642448086565;NA
1997;9;24.5136505336052;14.3483590813742;38.423734040869;38.6014542261319;NA
1997;10;21.6090156124235;14.6245729796627;38.2998212295759;38.5675828512593;NA
1997;11;17.8128996078304;14.6352936761548;38.1257596915414;38.5415049599564;NA
1997;12;15.530336931576;14.5265688819894;38.2430156208572;38.5056929406532;NA
1998;1;14.5776999906771;14.3032807299977;38.2413606877306;38.4975717204149;NA
1998;2;13.9862789321237;13.8208267690499;38.2600144566647;38.4340415842847;NA
1998;3;13.8727866127709;13.7201365188629;38.3041210928218;38.4462336075308;NA
1998;4;14.7321344695299;13.7346370520591;38.2854394184461;38.4962672677095;NA
1998;5;17.3659671214178;14.0669176172583;38.3336244754067;38.5392444165899;NA
1998;6;22.2346065143098;14.4099614826195;38.3903857701269;38.6198546290969;NA
1998;7;25.1641464643543;14.6363245737639;38.4676838976435;38.6754161549414;NA
1998;8;27.6634451852739;14.8527973024545;38.4564951385754;38.6750302858895;NA
1998;9;24.5919787537548;14.8368918665524;38.2961126254881;38.6315650551854;NA
1998;10;21.2130825479212;15.0693752894008;38.2503492438963;38.626547734181;NA
1998;11;18.2553029436892;15.2166179704902;38.283294741952;38.6053199099073;NA
1998;12;15.337683830549;14.7186229380177;38.3672388613227;38.5745791984702;NA
1999;1;14.468088547756;14.315895997886;38.4874769234135;38.6234711439227;3.66969864631683
1999;2;13.938247053525;13.8485899981329;38.562234774596;38.6395998765997;3.96308829155199
1999;3;14.162929179665;13.9755221038226;38.5482352960013;38.6648776320537;8.9098676080159
1999;4;14.7588630780238;13.9037418943501;38.514301701122;38.6520562515277;10.5768060398892
1999;5;18.2871583339887;14.320284166629;38.5250343913667;38.6739440377933;8.45167103459758
1999;6;22.7315657438836;14.7159905037757;38.4937969905405;38.7282109551151;9.23897045621907
1999;7;24.8766393528513;15.0310933921424;38.5027920587353;38.7632192310361;10.7455215972154
1999;8;26.5770353245821;15.1735261469464;38.4415324144166;38.7535128408042;10.2103007185405
1999;9;25.206901658251;15.2309611614842;38.1393067725158;38.7299622805837;7.65998590544837
1999;10;22.8170680609745;15.3167651279986;38.287743951161;38.6860917492418;6.52308117213981
1999;11;19.5473662172173;15.5369534309508;38.4105105787878;38.6657932949625;4.96258350507846
1999;12;16.3502570755246;15.2216056620686;38.5647144330899;38.6946798600622;3.387444851462
2000;1;14.872473606958;14.6033067459223;38.6437882736891;38.70845063606;3.38498302305709
2000;2;14.2217122223574;14.1235419795324;38.6615483861095;38.7293116392735;4.27863293593408
2000;3;14.1748314744433;13.9222946303339;38.6615277872644;38.7419840319676;7.0010445942013
2000;4;15.2832534207541;14.0935606930611;38.6335455516509;38.7389935118439;12.4275361577772
2000;5;19.4906361873813;14.4817330197832;38.5636196538698;38.7252861887363;9.06587375090002
2000;6;23.4597620883223;14.6912863163332;38.6205322623787;38.7278235856236;8.98213180475617
2000;7;24.9234749551948;14.9220632023795;38.6178249706067;38.7514787083753;9.11583194389747
2000;8;26.0213361361312;15.2008387415662;38.5909353770078;38.7687391827885;9.0686560104145
2000;9;24.5488444525468;15.2999536894283;38.622474104779;38.768208792627;7.07871754164556
2000;10;21.6370625930814;15.3823276478723;38.543723841321;38.7496649217903;5.50026607390636
2000;11;19.1533207613452;15.4627650921344;38.4757728024661;38.6842874716854;4.97922756749636
2000;12;17.0962717869917;15.4309799493102;38.5673968492702;38.6992402613;3.61915364049569
2001;1;15.5094559176864;15.0467006380581;38.5385950181256;38.6813580961998;3.7227391054928
2001;2;14.7353251613592;14.5247456511165;38.5002451400342;38.6532790148982;4.87735455486944
2001;3;15.0082238896235;14.4074002807497;38.4594424680328;38.6346617016403;6.21436439788976
2001;4;15.517123323536;14.6162388738679;38.4300140679556;38.6090979079817;5.67167144911979
2001;5;18.2805226303789;14.826388795024;38.3873660962146;38.6271183638834;7.73314439490218
2001;6;21.4840819163171;15.051699202951;38.2894151225241;38.6204055146591;10.293921331789
2001;7;24.8570632169668;15.1269740942962;38.295191997523;38.6590332107118;10.4297282932395
2001;8;26.5364140242733;15.3224658870676;38.3884856377425;38.663016760583;9.86011262893983
2001;9;24.458432929196;15.3467576746702;38.4792951209938;38.6887107651045;7.31706963233163
2001;10;22.9730740092916;15.4544548021817;38.5426476903974;38.6975836870957;6.45071229791111
2001;11;19.4127042717897;15.6840958670014;38.4964895214598;38.6694786167198;4.36236205094107
2001;12;15.81469963213;15.0174232875199;38.5019924997033;38.618922876435;2.6769166744989
2002;1;14.2297097155163;14.0578506817033;38.5446058450194;38.6357952241567;2.8161552631733
2002;2;14.4965623782824;14.253476801517;38.6207544431698;38.7192501332436;4.81137687097068
