"YEAR";"sst";"botT";"so";"botso";"nppv"
1987;24.5368534758892;13.5331713672496;38.1618418033396;38.4711198081537;NA
1988;24.3341046681978;14.1711568379581;37.9968093755182;38.5443855252736;NA
1989;23.424125567399;14.001001462373;37.9748176856895;38.5146000470447;NA
1990;23.3959914494742;14.2795448118338;38.2114376799774;38.5110527425574;NA
1991;23.7835906081121;13.8997643291704;37.9216053674184;38.3910327731896;NA
1992;24.4405326023577;13.4573746030401;37.9944759839605;38.4324578054238;NA
1993;23.672100970683;13.071420843524;38.1641732362697;38.422518301993;NA
1994;25.3429941895921;13.4831152933839;37.6389481599579;38.2982501456616;NA
1995;24.0066289800162;13.5757661501165;37.5212917302887;38.370355812601;NA
1996;22.8631946529607;13.4255504343294;37.9934049059998;38.3680743218319;NA
1997;23.7674721827823;13.8416621500561;37.9997774339294;38.3644474372848;NA
1998;24.8823182584898;14.2962264813429;37.9268826176681;38.4094026351769;NA
1999;24.2977232674189;14.2786677560622;38.1286889184347;38.5351772527511;9.85370303917063
2000;23.9920095118282;14.3558174397481;38.3606081980935;38.5737902659616;9.19932647750317
2001;24.1697222613997;14.9595737933519;38.0551886257559;38.5126722075413;10.013460837746
2002;24.4945188138292;14.8621495178538;38.0641069991424;38.5779969399365;9.83035820407183
2003;25.6026614439677;13.780279756528;38.4700998169183;38.5562683894589;10.3297481852421
2004;24.6177843362946;14.3259298244109;38.3038465262894;38.6606094017482;10.2341363530387
2005;24.0096564670201;14.1895969361685;38.3735892905063;38.6703354355174;9.91895759846756
2006;24.2336966711989;13.8540305743655;38.3151085443091;38.6737289297919;10.1118361600766
2007;24.1444766897279;14.551657031076;38.1049964604263;38.5049972967537;9.96611937291034
2008;24.7975824628155;14.21947333683;38.0081541509525;38.4477479158869;10.0533194497215
2009;24.9409710410094;13.8736645664737;37.980732139121;38.3733589513337;11.1757603684541
2010;24.2320275656232;13.8008481090914;37.9056346776634;38.298580400935;10.5710943403023
2011;25.4596861313082;14.3465421599209;37.9965275738181;38.4252374065399;9.96093419207636
2012;25.5264493833456;14.4396105715829;38.3859745871614;38.7191609827623;9.89874496955296
2013;24.6112512018618;14.8516080777737;38.2432659081815;38.7342285123271;10.458228985242
2014;24.2667837497228;15.2995501977523;37.5180021244684;38.5643386403701;10.4649262928172
2015;25.9466492357002;14.7632112077335;37.8894712605768;38.5448619043971;10.4998450965075
2016;24.5932764132944;15.3266149756597;38.3403833815598;38.7160131655992;9.87179487208695
2017;24.8844237486881;14.6190224416362;38.2519384657863;38.5744715824206;9.6819872167978
2018;25.4674956145141;14.2288240090816;37.8702040004351;38.4375973949134;9.8896068750393
2019;25.5674158155234;15.125134501579;38.1594447620214;38.7441265844897;10.4832117004417
2020;25.0477057497202;15.0744606668945;38.5922942180486;38.8129390572103;10.0983948585144
2021;25.5673110414308;15.1609695053847;38.3999508086345;38.8093248763009;10.5104494705633
