"YEAR";"MONTH";"sst";"botT";"so";"botso";"nppv"
1987;1;14.7073777120501;13.9483241850369;38.3062096854046;38.6491576067873;NA
1987;2;14.1325413725628;13.8036544299073;38.3345608794884;38.6472130598775;NA
1987;3;13.8961330859819;13.623767621646;38.3889425769602;38.6595742460538;NA
1987;4;14.6900015044856;13.7241384930054;38.3746155370232;38.710450713483;NA
1987;5;16.5652454861318;13.8135536137721;38.30062625161;38.705823451658;NA
1987;6;20.5075632069467;13.8917952627746;38.3050576729177;38.7043559331192;NA
1987;7;25.2469562580337;13.9457911367486;38.3178861183384;38.7090913641125;NA
1987;8;26.2325172957917;14.0258650947743;38.417200690135;38.7230344296289;NA
1987;9;26.249712623316;14.0721931932394;38.445657277408;38.7282525303502;NA
1987;10;23.5940475278817;14.1559958994128;38.4337933627884;38.7275363647588;NA
1987;11;19.7239515324733;14.2386752797368;38.3425297486868;38.7184446855272;NA
1987;12;16.8236012113798;14.1511049966724;38.3781472308281;38.6958051370175;NA
1988;1;15.5190849049811;14.0274391253019;38.4073173280245;38.6993476845684;NA
1988;2;14.6777477065226;13.8640157056213;38.431677575119;38.6917189406073;NA
1988;3;14.262942575324;13.7077657232823;38.4245434991446;38.6900090880222;NA
1988;4;15.339490581978;13.7727689986014;38.3746736664083;38.6873702970434;NA
1988;5;18.0303951502869;13.88733548909;38.3130843363642;38.6929018122186;NA
1988;6;21.3556913531233;13.9595733685055;38.22665884286;38.7046122962343;NA
1988;7;25.6929985714829;13.9891272626601;38.1810823424669;38.7024441254463;NA
1988;8;27.2524505830197;14.0346995563234;38.1692554487888;38.6706560315116;NA
1988;9;25.1380971501368;14.0442650693542;38.1310028202293;38.6681313501196;NA
1988;10;22.7979212826075;14.1030970963136;38.1362346716328;38.67226665096;NA
1988;11;19.1812674859864;14.2710848085995;38.2742924768781;38.659910427824;NA
1988;12;16.0278261642175;14.0828260287399;38.2888133877152;38.6486278451043;NA
1989;1;14.570892370831;13.8174935245351;38.297381196467;38.6503791821017;NA
1989;2;14.1628044424067;13.6139590232187;38.3511861290065;38.6522368071436;NA
1989;3;14.3970043649163;13.6027067023451;38.375137776571;38.6587525180179;NA
1989;4;15.5284655084903;13.7055745507741;38.3134506472857;38.6533223964926;NA
1989;5;17.4042050918721;13.8101511207927;38.2419863178319;38.6465521672029;NA
1989;6;20.9787966738861;13.8619934312836;38.234554173603;38.6641647802708;NA
1989;7;24.9549121676735;13.9166779507186;38.1403090326166;38.6904336063561;NA
1989;8;26.239850829615;14.015242856841;38.2146789583874;38.6950692030557;NA
1989;9;24.8221224877216;14.0708579229023;38.2397426684881;38.6997077063962;NA
1989;10;21.340415854616;14.1785853338594;38.1989819525458;38.6942727352115;NA
1989;11;18.7460670602584;14.1974404540295;38.1512534583158;38.6999572514535;NA
1989;12;16.6708719336518;14.1555337207147;38.1963711420527;38.6953516710326;NA
1990;1;15.4324848619314;14.0159789966422;38.2664003673168;38.698639823947;NA
1990;2;14.9257347315944;13.9398864943085;38.3030643951873;38.7177354717885;NA
1990;3;15.1013808797996;13.9011543411282;38.3000916881491;38.7218189084256;NA
1990;4;15.6149108498987;13.9244503176303;38.2318182771117;38.7107387882888;NA
1990;5;18.1803994791587;13.9751815328082;38.1799784484447;38.7020271345122;NA
1990;6;21.2892703430969;14.0664735920458;38.123763516189;38.7053581549661;NA
1990;7;25.011433861089;14.1236619080005;38.1129291469388;38.7186877134459;NA
1990;8;26.2701293933667;14.1713826861792;38.2622236454003;38.7270723762996;NA
1990;9;24.8582772667173;14.1750516457649;38.2951245967424;38.7305244179161;NA
1990;10;23.1329437427823;14.2309018338083;38.3340466594568;38.7270282063348;NA
1990;11;20.099659780741;14.3343336949324;38.3193029913845;38.7220650546102;NA
1990;12;16.4959962889804;14.2643527076103;38.3255177044102;38.710880121609;NA
1991;1;15.0877790613098;14.1030106832854;38.3304969432877;38.6905241616058;NA
1991;2;14.4023177198144;13.8664359266892;38.3293118037636;38.6697058483515;NA
1991;3;14.7040446905154;13.8951969123404;38.237448323837;38.6751863719246;NA
1991;4;15.216817366781;13.9326833796382;38.1206485926957;38.66911744173;NA
1991;5;16.5343914248698;14.0163151492114;38.1317877528507;38.6690033618063;NA
1991;6;20.4357921087571;14.0757044546101;38.1168646210395;38.6850322275648;NA
1991;7;24.4685452776664;14.1693115661101;38.1293191707406;38.7063911759549;NA
1991;8;26.3050208610459;14.151326833869;38.1705314989262;38.7133916060415;NA
1991;9;25.6272329505768;14.1871766468493;38.1801557419857;38.705829919407;NA
1991;10;23.1043351282584;14.1851778449626;38.1195096301766;38.6851194081675;NA
1991;11;19.2244858696075;14.2276000691679;38.093532312685;38.6833508527485;NA
1991;12;16.1280951180055;14.1450945295296;38.1412183032683;38.6572536021606;NA
1992;1;14.6648104438304;13.8142695977338;38.2542175510635;38.6519789387555;NA
1992;2;14.2174334050769;13.6344732246093;38.3084887475473;38.6532218234852;NA
1992;3;14.1143750788158;13.6200336121358;38.3370963449098;38.6684143387633;NA
1992;4;15.0079274465433;13.6678846309229;38.3278164574507;38.6848708353775;NA
1992;5;17.7666475562566;13.7277239568487;38.205152891502;38.6854777978467;NA
1992;6;20.8888662090367;13.7819504876281;38.0597375454759;38.7018426104335;NA
