"YEAR";"sst";"botT";"so";"botso";"nppv"
1987;18.8406345008693;14.2189581500016;38.4427827082342;38.6402004718564;NA
1988;19.1135743092369;14.2104244981493;38.3322338507668;38.608198749332;NA
1989;18.6793721737058;14.1561166147425;38.3529296509079;38.6055029198286;NA
1990;19.0947277507214;14.4216346652048;38.3677292113474;38.635123763797;NA
1991;18.7378538834918;14.3494686707389;38.2428277460607;38.5587064490695;NA
1992;18.8032061337724;13.9571241008262;38.2798194978744;38.5832866813534;NA
1993;18.9071417476384;14.1797807433911;38.2181760285542;38.6237810878229;NA
1994;19.3895797039481;14.0676410321295;38.0478884697881;38.4879076851287;NA
1995;18.6398952046652;13.9213213523192;38.0723636872948;38.5012520505156;NA
1996;18.3217477722217;13.9718597250045;38.1557373734649;38.5265497968985;NA
1997;18.6777471206609;14.1745164510483;38.2658369328961;38.5402320200458;NA
1998;19.0829261138643;14.4488658425439;38.3280100341729;38.5684726303501;NA
1999;19.4768433021869;14.7159107988489;38.4564733571455;38.6896182628085;7.35825165220627
2000;19.573581640459;14.8012209756381;38.6002241550344;38.7327890776726;7.04183792037348
2001;19.5489267435457;15.0354454212087;38.4424316983922;38.651888876326;6.63417473432709
2002;19.3532948567947;14.8999008397859;38.4109625741599;38.7326864516675;6.99287408528115
2003;20.1353855548203;14.9038325272539;38.6273305921742;38.7212238823104;7.13365793964283
2004;19.5061208625931;15.0085680409448;38.6050606270043;38.8180433588838;7.76396002525454
2005;19.2645358665656;14.8122777892249;38.6072053838958;38.7984155036917;7.24933540708238
2006;19.3434298468209;14.4345699257422;38.4962784160894;38.6932539702871;7.78124788345126
2007;19.5001028878983;14.7411913092476;38.3575391012144;38.6464452467515;7.31025723265552
2008;19.4980429192601;14.5464460652442;38.3741949537049;38.642168045944;7.45926501255284
2009;19.4252137975188;14.3308278052856;38.2464372019627;38.5512313683908;7.72563368522166
2010;19.0767658246011;14.5869748819597;38.2961375417334;38.6077454407333;7.66041039215699
2011;19.8311421061136;15.2903557210656;38.5123887489399;38.721374626305;7.08817317683041
2012;20.0390255299757;14.9779794272653;38.6908788204456;38.8108899225308;6.79002607925437
2013;19.8050752734954;15.0580464909907;38.6254453053427;38.8016739098885;7.18958992312868
2014;19.8608382906644;15.3815746092155;38.3191222915162;38.7114472558724;7.14866847523023
2015;20.1907664552218;15.3396434613748;38.4777624087578;38.7718828935915;7.53727849260922
2016;19.8466326213157;15.3641939434758;38.5599544121299;38.8034504152531;7.0066186351773
2017;19.7361465781058;15.1812142995047;38.7251907809264;38.8508611236983;6.38256060970071
2018;20.1680624575268;14.9718648667344;38.365338532346;38.75472976086;7.26012817030959
2019;20.0963026748671;15.2314511065259;38.5580774568097;38.8697762588241;7.43570344529133
2020;19.9312051302729;15.3566469993184;38.7564695026388;38.9193458621089;7.47241316130425
2021;20.0458446454619;15.4489493439069;38.7986908766655;38.9523811706488;7.65960766071778
