"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"172",126981,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126981","Liza saliens","(Risso, 1810)","unaccepted",NA,220,"Species",1042832,"Chelon saliens","(Risso, 1810)",126031,"Animalia","Chordata","Teleostei","Mugiliformes","Mugilidae","Liza","Froese, R. and D. Pauly. Editors. (2023). FishBase. Liza saliens (Risso, 1810). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126981 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126981",1,1,0,0,NA,"exact","2017-10-31T07:34:30.333Z"
"173",126554,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126554","Lophius budegassa","Spinola, 1807","accepted",NA,220,"Species",126554,"Lophius budegassa","Spinola, 1807",125802,"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Froese, R. and D. Pauly. Editors. (2023). FishBase. Lophius budegassa Spinola, 1807. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126554 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126554",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"174",154675,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=154675","Lumpenus lampretaeformis","(Walbaum, 1792)","accepted",NA,220,"Species",154675,"Lumpenus lampretaeformis","(Walbaum, 1792)",126088,"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Froese, R. and D. Pauly. Editors. (2023). FishBase. Lumpenus lampretaeformis (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154675 on 2023-06-28","urn:lsid:marinespecies.org:taxname:154675",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"175",127103,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127103","Lycodes esmarkii","Collett, 1875","accepted",NA,220,"Species",127103,"Lycodes esmarkii","Collett, 1875",126104,"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Froese, R. and D. Pauly. Editors. (2023). FishBase. Lycodes esmarkii Collett, 1875. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127103 on 2023-06-28","urn:lsid:marinespecies.org:taxname:127103",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"176",125471,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=125471","Macrouridae","Bonaparte, 1831","accepted",NA,140,"Family",125471,"Macrouridae","Bonaparte, 1831",10313,"Animalia","Chordata","Teleostei","Gadiformes","Macrouridae",NA,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Macrouridae Bonaparte, 1831. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125471 on 2023-06-28","urn:lsid:marinespecies.org:taxname:125471",1,NA,NA,0,NA,"exact","2015-04-17T08:48:21.843Z"
"177",126472,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126472","Macrourus berglax","Lacepède, 1801","accepted",NA,220,"Species",126472,"Macrourus berglax","Lacepède, 1801",125752,"Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Macrourus","Froese, R. and D. Pauly. Editors. (2023). FishBase. Macrourus berglax Lacepède, 1801. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126472 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126472",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"178",298794,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=298794","Manta alfredi","(Krefft, 1868)","unaccepted",NA,220,"Species",1042871,"Mobula alfredi","(Krefft, 1868)",105755,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Manta","Froese, R. and D. Pauly. Editors. (2023). FishBase. Manta alfredi (Krefft, 1868). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=298794 on 2023-06-28","urn:lsid:marinespecies.org:taxname:298794",1,0,0,0,NA,"exact","2017-10-31T07:34:30.333Z"
"179",105857,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=105857","Manta birostris","(Walbaum, 1792)","unaccepted",NA,220,"Species",1026118,"Mobula birostris","(Walbaum, 1792)",105755,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Manta","Froese, R. and D. Pauly. Editors. (2023). FishBase. Manta birostris (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105857 on 2023-06-28","urn:lsid:marinespecies.org:taxname:105857",1,0,0,0,NA,"exact","2017-10-23T04:16:08.283Z"
"180",137092,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137092","Megaptera novaeangliae","(Borowski, 1781)","accepted",NA,220,"Species",137092,"Megaptera novaeangliae","(Borowski, 1781)",137014,"Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Megaptera","Fordyce, E.; Perrin, W.F. (2023). World Cetacea Database. Megaptera novaeangliae (Borowski, 1781). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137092 on 2023-06-28","urn:lsid:marinespecies.org:taxname:137092",1,NA,NA,0,NA,"exact","2008-08-20T11:25:36.853Z"
"181",366594,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=366594","Melanitta americana","(Swainson, 1832)","accepted",NA,220,"Species",366594,"Melanitta americana","(Swainson, 1832)",137002,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","WoRMS (2023). Melanitta americana (Swainson, 1832). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366594 on 2023-06-28","urn:lsid:marinespecies.org:taxname:366594",1,NA,NA,1,NA,"exact","2011-04-04T12:52:34.727Z"
"182",137072,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137072","Melanitta fusca","(Linnaeus, 1758)","accepted",NA,220,"Species",137072,"Melanitta fusca","(Linnaeus, 1758)",137002,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","WoRMS (2023). Melanitta fusca (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137072 on 2023-06-28","urn:lsid:marinespecies.org:taxname:137072",1,NA,NA,1,NA,"exact","2011-04-08T06:18:06.150Z"
"183",137073,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137073","Melanitta nigra","(Linnaeus, 1758)","accepted",NA,220,"Species",137073,"Melanitta nigra","(Linnaeus, 1758)",137002,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","WoRMS (2023). Melanitta nigra (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137073 on 2023-06-28","urn:lsid:marinespecies.org:taxname:137073",1,NA,NA,1,NA,"exact","2011-04-08T06:18:06.150Z"
"184",126437,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126437","Melanogrammus aeglefinus","(Linnaeus, 1758)","accepted",NA,220,"Species",126437,"Melanogrammus aeglefinus","(Linnaeus, 1758)",125733,"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Froese, R. and D. Pauly. Editors. (2023). FishBase. Melanogrammus aeglefinus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126437 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126437",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"185",159097,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=159097","Mergus merganser","Linnaeus, 1758","accepted",NA,220,"Species",159097,"Mergus merganser","Linnaeus, 1758",159096,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","WoRMS (2023). Mergus merganser Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159097 on 2023-06-28","urn:lsid:marinespecies.org:taxname:159097",1,1,1,1,NA,"exact","2011-04-08T06:18:06.150Z"
"186",159098,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=159098","Mergus serrator","Linnaeus, 1758","accepted",NA,220,"Species",159098,"Mergus serrator","Linnaeus, 1758",159096,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","WoRMS (2023). Mergus serrator Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159098 on 2023-06-28","urn:lsid:marinespecies.org:taxname:159098",1,NA,1,1,NA,"exact","2011-04-08T06:18:06.150Z"
"187",126438,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126438","Merlangius merlangus","(Linnaeus, 1758)","accepted",NA,220,"Species",126438,"Merlangius merlangus","(Linnaeus, 1758)",125734,"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Merlangius","Froese, R. and D. Pauly. Editors. (2023). FishBase. Merlangius merlangus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126438 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126438",1,1,0,0,NA,"exact","2020-09-24T06:35:24.693Z"
"188",137122,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137122","Mesoplodon densirostris","(de Blainville, 1817)","accepted",NA,220,"Species",137122,"Mesoplodon densirostris","(de Blainville, 1817)",137034,"Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Fordyce, E.; Perrin, W.F. (2023). World Cetacea Database. Mesoplodon densirostris (de Blainville, 1817). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137122 on 2023-06-28","urn:lsid:marinespecies.org:taxname:137122",1,NA,NA,0,NA,"exact","2008-08-20T11:25:36.853Z"
"189",217434,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=217434","Mobula eregoodootenkee","(Bleeker, 1859)","accepted",NA,220,"Species",217434,"Mobula eregoodootenkee","(Bleeker, 1859)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula eregoodootenkee (Bleeker, 1859). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217434 on 2023-06-28","urn:lsid:marinespecies.org:taxname:217434",1,0,0,0,NA,"exact","2022-06-02T07:27:35.967Z"
"190",158530,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=158530","Mobula hypostoma","(Bancroft, 1831)","accepted",NA,220,"Species",158530,"Mobula hypostoma","(Bancroft, 1831)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula hypostoma (Bancroft, 1831). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158530 on 2023-06-28","urn:lsid:marinespecies.org:taxname:158530",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"191",217432,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=217432","Mobula japanica","(Müller & Henle, 1841)","junior subjective synonym",NA,220,"Species",105858,"Mobula mobular","(Bonnaterre, 1788)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula japanica (Müller & Henle, 1841). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217432 on 2023-06-28","urn:lsid:marinespecies.org:taxname:217432",1,0,0,0,NA,"exact","2022-10-17T15:46:13.563Z"
"192",217436,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=217436","Mobula kuhlii","(Müller & Henle, 1841)","accepted",NA,220,"Species",217436,"Mobula kuhlii","(Müller & Henle, 1841)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula kuhlii (Müller & Henle, 1841). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217436 on 2023-06-28","urn:lsid:marinespecies.org:taxname:217436",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"193",105858,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=105858","Mobula mobular","(Bonnaterre, 1788)","accepted",NA,220,"Species",105858,"Mobula mobular","(Bonnaterre, 1788)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula mobular (Bonnaterre, 1788). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105858 on 2023-06-28","urn:lsid:marinespecies.org:taxname:105858",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"194",271482,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=271482","Mobula munkiana","Notarbartolo-di-Sciara, 1987","accepted",NA,220,"Species",271482,"Mobula munkiana","Notarbartolo-di-Sciara, 1987",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula munkiana Notarbartolo-di-Sciara, 1987. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271482 on 2023-06-28","urn:lsid:marinespecies.org:taxname:271482",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"195",271483,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=271483","Mobula rochebrunei","(Vaillant, 1879)","accepted",NA,220,"Species",271483,"Mobula rochebrunei","(Vaillant, 1879)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula rochebrunei (Vaillant, 1879). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271483 on 2023-06-28","urn:lsid:marinespecies.org:taxname:271483",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"196",105859,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=105859","Mobula tarapacana","(Philippi, 1892)","accepted",NA,220,"Species",105859,"Mobula tarapacana","(Philippi, 1892)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula tarapacana (Philippi, 1892). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105859 on 2023-06-28","urn:lsid:marinespecies.org:taxname:105859",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"197",217430,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=217430","Mobula thurstoni","(Lloyd, 1908)","accepted",NA,220,"Species",217430,"Mobula thurstoni","(Lloyd, 1908)",105756,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Froese, R. and D. Pauly. Editors. (2023). FishBase. Mobula thurstoni (Lloyd, 1908). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217430 on 2023-06-28","urn:lsid:marinespecies.org:taxname:217430",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"198",126459,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126459","Molva dypterygia","(Pennant, 1784)","accepted",NA,220,"Species",126459,"Molva dypterygia","(Pennant, 1784)",125744,"Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Molva","Froese, R. and D. Pauly. Editors. (2023). FishBase. Molva dypterygia (Pennant, 1784). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126459 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126459",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
